role_id,role,ons_occupation,competency_rank,competency,share,current_job_sample,companies_in_sample,median_salary_sample
database_administrator,Database Administrator,database_administrators_and_web_content_technicians,2,Professional and Interpersonal Competencies,0.8808961108203964,20,10,47590.7
database_administrator,Database Administrator,database_administrators_and_web_content_technicians,3,Information Technology and Programming,0.8321008300750707,20,10,47590.7
database_administrator,Database Administrator,database_administrators_and_web_content_technicians,4,Marketing and Sales,0.5137365703438361,20,10,47590.7
database_administrator,Database Administrator,database_administrators_and_web_content_technicians,5,Digital Marketing,0.4177384233259258,20,10,47590.7
database_administrator,Database Administrator,database_administrators_and_web_content_technicians,6,Accounting and Financial Trading and Investment,0.4167094368055151,20,10,47590.7
database_administrator,Database Administrator,database_administrators_and_web_content_technicians,7,Manufacturing and Fabrication,0.3463291790377234,20,10,47590.7
database_administrator,Database Administrator,database_administrators_and_web_content_technicians,8,Healthcare and Life Sciences,0.3009490719013395,20,10,47590.7
database_administrator,Database Administrator,database_administrators_and_web_content_technicians,9,Digital Media Production,0.2878361257518133,20,10,47590.7
database_administrator,Database Administrator,database_administrators_and_web_content_technicians,10,"Recruitment, Payroll and Employee Performance",0.2634001176897608,20,10,47590.7
network_professional,Network Professional,it_network_professionals,1,Information Technology and Programming,0.953438437963032,20,10,47590.7
network_professional,Network Professional,it_network_professionals,2,"Business Operations, Process and Program Management",0.910240045708274,20,10,47590.7
network_professional,Network Professional,it_network_professionals,3,Professional and Interpersonal Competencies,0.7967419113071229,20,10,47590.7
network_professional,Network Professional,it_network_professionals,4,Manufacturing and Fabrication,0.6378026584750797,20,10,47590.7
network_professional,Network Professional,it_network_professionals,5,Networking,0.6159516050410927,20,10,47590.7
network_professional,Network Professional,it_network_professionals,6,Construction and Built Environment,0.6137640687895538,20,10,47590.7
network_professional,Network Professional,it_network_professionals,7,Risk and Safety,0.5724157615582276,20,10,47590.7
network_professional,Network Professional,it_network_professionals,8,Electrical and Electronics Engineering,0.501562963625449,20,10,47590.7
network_professional,Network Professional,it_network_professionals,9,Telecommunication,0.4788458806327872,20,10,47590.7
network_professional,Network Professional,it_network_professionals,10,Networking and Cybersecurity,0.4486147561715054,20,10,47590.7
it_business_analyst,IT Business Analyst,"it_business_analysts,_architects_and_systems_designers",1,"Business Operations, Process and Program Management",0.9322230541459184,20,10,47590.7
it_business_analyst,IT Business Analyst,"it_business_analysts,_architects_and_systems_designers",2,Information Technology and Programming,0.9320126717503658,20,10,47590.7
it_business_analyst,IT Business Analyst,"it_business_analysts,_architects_and_systems_designers",3,Professional and Interpersonal Competencies,0.8155344339575779,20,10,47590.7
it_business_analyst,IT Business Analyst,"it_business_analysts,_architects_and_systems_designers",4,Manufacturing and Fabrication,0.5606217076682791,20,10,47590.7
it_business_analyst,IT Business Analyst,"it_business_analysts,_architects_and_systems_designers",5,Engineering and Manufacturing,0.539919951348353,20,10,47590.7
it_business_analyst,IT Business Analyst,"it_business_analysts,_architects_and_systems_designers",6,Accounting and Financial Trading and Investment,0.5230296313573244,20,10,47590.7
it_business_analyst,IT Business Analyst,"it_business_analysts,_architects_and_systems_designers",7,Risk and Safety,0.4839719918116179,20,10,47590.7
it_business_analyst,IT Business Analyst,"it_business_analysts,_architects_and_systems_designers",8,Construction and Built Environment,0.4712951337048364,20,10,47590.7
it_business_analyst,IT Business Analyst,"it_business_analysts,_architects_and_systems_designers",9,Data Platforms and Databases,0.4430473735477614,20,10,47590.7
it_business_analyst,IT Business Analyst,"it_business_analysts,_architects_and_systems_designers",10,"Legal, Regulatory Compliance and Governance",0.3659084547911253,20,10,47590.7
